smiles,BM,SA,SC
*C(C*)c1c(ccc(c1)Br)OCCC(C)C,2094204024,3.832950255,2.863136717
*C(C*)c1cc(cc(c1)C)C,2509661261,4.24813694,2.583428823
*C(C*)c1cc(c(cc1)C)C,2207074010,4.119692228,2.43987012
*C(C*)c1cc(c(cc1)Cl)C,1688734778,4.227432613,2.644022307
*C(C*)c1cc(c(cc1)Cl)Cl,1800372609,4.189658575,2.513574668
*C(C*)c1cc(c(cc1)Cl)F,1944664031,4.293457132,2.514140111
*C(C*)c1c(cc(cc1C)C)C,2347840192,4.203931509,2.406710412
*C(C*)c1c(cc(c(c1)C)C)C,2499239492,4.186416124,2.704355036
*C(C*)c1c(c(c(c(c1F)F)F)F)F,2301288934,4.552457242,2.763695551
*C(C*)(c1ccccc1)C,2490241595,4.039212638,2.314657348
*C(C*)(c1ccc(cc1)C(C)C)C,2068502851,3.86395663,2.736255714
*C(C(*)(F)F)(c1ccccc1)F,2018912018,3.925420196,1.809397732
*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,1635672814,4.260336535,2.129067633
*C(C*)c1c2c(ccc1)cccc2,2306736046,3.591751349,2.59103347
*C(C*)c1ccc(cc1)C(=O)C,2511918803,3.882471173,2.117206295
*C(C*)c1ccc(cc1)C(=O)CCN1CCOCC1,3752203662,3.52289498,2.914520786
*C(C*)(C(=O)OC)c1ccccc1,2290206484,3.923433049,2.175878352
*C(C*)(c1ccc(cc1)C)C,2170174729,3.992861459,2.426621645
*C(C(*)c1ccccc1)[N+](=O)[O-],1503036154,4.396950498,1.736667897
*C(C*)c1ccc(cc1)C(=O)C(F)(F)F,2256359674,3.995251546,2.605984507
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)OC,3184711112,3.202997163,2.554756287
*C(C*)c1cc2c(cc1)cccc2,2338400628,3.637128657,2.593717072
*C(C*)c1ccncc1,3191263594,4.649238372,2.418390721
*C(C*)c1nc(ccc1)C,2580374055,4.5346511,2.124443631
*C(C*)c1ccc(nc1)C,2233380331,4.523463407,2.636301544
*C(C*)N1Nc2c(C1)cccc2,3081853228,4.620823902,2.867826529
*C(C(C(C*)c1ncccc1)c1ccccc1)c1ncccc1,2272399729,4.089378286,2.901175078
*C(C*)c1ccc(cc1)O,3895793571,4.274232638,2.406268443
*C(C*)c1ccc(cc1)OC(=O)C,2672856492,3.861347624,2.399095824
*C(C*)c1ccc(cc1)CCC,2075412112,3.834319744,2.744205299
*C(C*)c1ccc(cc1)COCCCCCCOc1ccc(cc1)c1ccc(cc1)OC,3529662211,3.136359982,3.247372029
*C(C*)c1ccc(cc1)COCC(CCCC)CC,2505009922,3.90994495,2.946891387
*C(C*)c1ccc(cc1)COCCOCCCCCCCC,2066533608,3.40654704,3.047789717
*C(C*)c1ccc(cc1)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1927784948,4.209067978,3.385829128
*C(CC(C*)c1ccccc1)(C(=O)OC)C#N,2870086836,4.380547524,2.419464185
*C(C*)c1cc(c(cc1)C(=O)O)C(=O)O,6533348457,3.881495502,2.404252028
*C(C(*)(c1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H])[2H])([2H])[2H],2067982470,7.336055731,2.785828253
*C(C*)O,5935855516,6.978688097,1.493341398
*C(C*)C=O,5515093707,6.945298235,1.45264863
*C(C*)OC(=O)CCCCCCCCCCC,2583153362,3.596417574,2.545197208
*C(C*)C(=O)C,3934269766,6.098370096,1.597966639
*C(C*)C(=O)C(C)C,2571025344,5.405763945,1.990156317
*C(C*)(C(=O)C)C,2868288689,5.717939336,1.938267077
*C(C*)C#N,5912139120,6.957049004,1.641652013
*C(C*)(C#N)C,5333238048,6.378160142,1.759447849
*C(C*)c1ncccc1,2767351732,4.54603013,2.239721153
*C(C*)n1c2ccccc2c2ccccc12,2308110111,3.495918161,2.835422484
*C(C*)OC,3130844090,6.710052081,1.576835999
*C(C*)OCC,2259194628,6.003872811,1.682727578
*C(C*)OC(=O)C,2792032956,5.586391401,1.877757533
*C(C*)OC(=O)CC,2369834163,5.305917031,2.210544958
*C(C*)OC(=O)c1ccccc1,2736529599,3.721692821,2.049346104
*C(C*)CCCCCCCCCO,3449573905,3.994614426,2.591978351
*C(C*)CCN(C(C)C)C(C)C,2709482783,4.671247716,3.128049967
*C(C*)CCCN(C(C)C)C(C)C,2647940669,4.53656058,2.984180552
*C(C*)CCCN(CC(C)C)CC(C)C,2719797454,4.255536162,3.539063754
*C(C*)O[N+](=O)[O-],4461466878,6.172699863,1.738479144
*C=CC(C(*)C(=O)OC)C,2683456679,5.524918227,2.242364907
*C#C/C(=C(*)\COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,3692011689,3.501503489,1.967030955
*C(C*)OC=O,4369687829,6.579095888,1.664394062
*C(C*)OCc1ccccc1,3073051193,3.861723365,2.021193735
