smiles,qm_homo_monomer,qm_lumo_monomer
*C(C*)OC(=O)c1ccc(cc1)Br,-9.35482041,0.459777846
*C(C*)OC(=O)c1ccc(cc1)OC(=O)CCC,-9.346645449,0.742825942
*C(C*)OC(=O)c1c(cccc1)Cl,-9.438704521,0.614361143
*C(C*)OC(=O)c1cc(ccc1)Cl,-9.46549935,0.452540038
*C(C*)OC(=O)c1ccc(cc1)Cl,-9.483673714,0.474878781
*C(C*)OC(=O)C1CCCCC1,-10.11034794,2.654987434
*C(C*)OC(=O)CC1CCCCC1,-10.2123479,2.617784723
*C(C*)OC(=O)CCCC1CCCCC1,-10.24292256,2.671709673
*C(C*)OC(=O)c1ccc(cc1)OCC,-8.68487557,1.098205495
*C(C*)OC(=O)c1ccc(cc1)CC,-9.259746307,0.853524731
*C(C*)OC(=O)C(C(C(F)(F)F)(F)F)(F)F,-11.3075146,1.304896882
*C(C*)OC(=O)C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,-11.31555217,1.307460564
*C(C*)NC(=O)OC(C)(C)C,-9.568008551,2.728795668
*C(C*)OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.29524543,1.230691774
*C(C*)OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.29328885,1.232494064
*C(C*)OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.29406178,1.230467831
*C(C*)OC(=O)C(C(F)(F)F)(F)F,-11.29152265,1.384509381
*C(C*)OC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-11.3050892,1.26858799
*C(C*)OC(=O)c1ccncc1,-9.923410953,0.277226018
*C(C*)OC(=O)c1ccc(cc1)C(C)C,-9.255115899,0.867193831
*C(C*)OC(=O)C(C(C)C)(C(C)C)C,-10.01043105,2.649482096
*C(C*)OC(=O)c1c(cccc1)OC,-8.700548593,0.926180462
*C(C*)OC(=O)c1cc(ccc1)OC,-8.679388794,0.787497751
*C(C*)OC(=O)c1ccc(cc1)OC,-8.714188676,1.07616088
*C(C*)OC(=O)c1c(cccc1)C,-9.247688135,0.824857289
*C(C*)OC(=O)c1cc(ccc1)C,-9.257068278,0.852776787
*C(C*)OC(=O)c1ccc(cc1)C,-9.256040935,0.869754943
*C(C*)OC(=O)CC(c1ccccc1)(C)C,-9.170201497,1.801736407
*C(C*)OC(=O)C(CCC)(C)C,-10.08199431,2.641563964
*C(C*)OC(=O)C(C(CC)(C)C)(C)C,-10.01087013,2.441181995
*C(C*)OC(=O)C(C(C(C)C)C)(C)C,-10.06011469,2.444783675
*C(C*)OC(=O)C(CC(C)(C)C)(C)C,-10.09395183,2.56461804
*C(C*)OC(=O)c1cnccc1,-9.950661512,0.497290544
*C(C*)OC(=O)c1cc(ccc1)[N+](=O)[O-],-10.35780996,-0.471947429
*C(C*)OC(=O)CCCCCCC,-10.26941992,2.670610186
*C(C*)OC(C(F)(F)F)(C(F)(F)F)F,-11.61312068,2.898773751
*C(C*)OC(=O)CCl,-10.75973369,2.336678118
*C(C*)C1=CC=CS1,-8.697526412,1.79489424
*C(C*)OCCCl,-10.0746105,2.465178353
*C(C*)OCCOC,-9.461428312,2.909317453
*C(C*)OCC(F)(F)F,-10.42943459,2.714196665
*C(C*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,-10.25426886,2.416135722
*C(C*)OC(=O)C1CCCC1,-10.14119086,2.48416355
*C(C*)OC(=O)C1(CCCCC1)C,-10.07468268,2.587080505
*C(C*)P(=O)(c1ccccc1)c1ccccc1,-9.471884165,0.949291644
*C(C*)P(=O)(OCC)N(C)C,-9.217918572,2.548836543
*C(C*)P(=O)(N(C)C)Oc1ccccc1,-8.94716076,1.687209641
*C(C*)c1nc(nc(n1)C)C,-9.937464892,1.129494718
*C(C*)OC(=O)CCCCCCCCC,-10.24057434,2.774134639
*C(C*)OC(=O)CCCCC,-10.18566518,2.489244413
*C1c2c(CC1*)cccc2,-8.757806246,1.88443479
*C1C(=O)OC(=O)C1C(C*)OC,-10.40232315,1.696297387
*C(C(C(C*)OC)C(=O)O)C(=O)O,-10.07420855,2.419668477
*C(=CCCC*)c1ccc(cc1)OC,-7.848634266,1.427031119
*C(=CCCC*)c1ccccc1,-8.39157111,1.178997429
*C(=CCCC*)c1ccc(cc1)Cl,-8.476290609,0.880532613
*C(C*)CNc1ccc(cc1)[N+](=O)[O-],-8.430807263,0.173746113
*C(C*)CNc1ncc(cc1)[N+](=O)[O-],-8.696972318,0.016590866
*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])C,-8.355737325,0.214616554
*C(C*)CNc1cc(c(cc1)[N+](=O)[O-])C(F)(F)F,-8.70270562,-0.06932472
*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-],-8.957113885,-0.662571341
*C1C(C(C(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,-8.422231777,0.281326827
*C1C(CC(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,-8.425282809,0.315316033
*C1C(CC(C1)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)CC*,-8.440703194,0.299070952
*C(C*)N1CNCC1,-8.712743164,2.611056165
*C(C*)OCCCCCCCCCCCCCCCCCC,-9.600083662,2.784620277
*C(C*)OC(=O)c1ccc(cc1)C#N,-10.00268611,-0.263713023
*C(C*)OCC(CC(C)C)(C)C,-9.780344027,2.80879843
