smiles,BM,SA,SC,atom_count
*C(C*)O,5935855516.0,6.978688097,1.493341398,5
*C(C*)C=O,5515093707.0,6.945298235,1.45264863,6
*C(C*)OC(=O)CCCCCCCCCCC,2583153362.0,3.596417574,2.545197208,18
*C(C*)C(=O)C,3934269766.0,6.098370096,1.597966639,7
*C(C*)C(=O)C(C)C,2571025344.0,5.405763945,1.990156317,9
*C(C*)(C(=O)C)C,2868288689.0,5.717939336,1.938267077,8
*C(C*)C#N,5912139120.0,6.957049004,1.641652013,6
*C(C*)(C#N)C,5333238048.0,6.378160142,1.759447849,7
*C(C*)c1ncccc1,2767351732.0,4.54603013,2.239721153,10
*C(C*)n1c2ccccc2c2ccccc12,2308110111.0,3.495918161,2.835422484,17
*C(C*)OC,3130844090.0,6.710052081,1.576835999,6
*C(C*)OCC,2259194628.0,6.003872811,1.682727578,7
*C(C*)OC(=O)C,2792032956.0,5.586391401,1.877757533,8
*C(C*)OC(=O)CC,2369834163.0,5.305917031,2.210544958,9
*C(C*)OC(=O)c1ccccc1,2736529599.0,3.721692821,2.049346104,13
*C(C*)CCCCCCCCCO,3449573905.0,3.994614426,2.591978351,14
*C(C*)CCN(C(C)C)C(C)C,2709482783.0,4.671247716,3.128049967,13
*C(C*)CCCN(C(C)C)C(C)C,2647940669.0,4.53656058,2.984180552,14
*C(C*)CCCN(CC(C)C)CC(C)C,2719797454.0,4.255536162,3.539063754,16
*C(C*)O[N+](=O)[O-],4461466878.0,6.172699863,1.738479144,8
*C=CC(C(*)C(=O)OC)C,2683456679.0,5.524918227,2.242364907,11
*C#C/C(=C(*)\COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,3692011689.0,3.501503489,1.967030955,30
*C(C*)OC=O,4369687829.0,6.579095888,1.664394062,7
*C(C*)OCc1ccccc1,3073051193.0,3.861723365,2.021193735,12
*C(C*)OC(C)(C)C,2428411908.0,5.485058351,1.921744176,9
*C(C(*)OCC(C)C)C,2050342135.0,5.303431719,1.661767417,10
*C(C*)OC(C)C,2391684571.0,5.797088324,1.431134197,8
*C(C*)(OC)C,2615501362.0,6.194780051,1.838627922,7
*C(C*)OCC(C)(C)C,2002499220.0,5.331501668,2.120872273,10
*C(C*)OC(CC)C,2201283229.0,5.765753758,2.093383662,9
*C(C*)OC(=O)C(F)(F)F,2659743215.0,5.072641869,2.11885576,11
*/C=C/C(C*)OC,2410546717.0,6.28898283,2.06157118,8
*C=CCC(CC*)(C(=O)OC)C,2903047283.0,5.28177721,2.371286488,13
*C(C*)CCc1c(cccc1)C,3182333832.0,3.921254359,2.779502585,13
